Jop_Title,Againt,Location,Work_Case,Experince_years,Jop_Describtion
Junior Data Scientist - Temporary Role,Premier Services and Recruitment,"6th of October, Giza, Egypt ",Part time,1 - 4 Yrs of Exp, Data Science · Data Scientist · AI · Machine Learning · Information Technology (IT) · Computer Science · Engineering · Python · SQL · javaScript
Senior Data Scientist,Evolvice GmbH,"Maadi, Cairo, Egypt ",Full time,3 - 5 Yrs of Exp, Data Science · English · data scientist · Python · IT/Software Development · Engineering - Telecom/Technology
Junior Data Scientist/ML Engineer,TMentors,"Cairo, Egypt ",Full time,0 - 3 Yrs of Exp, Computer Science · Machine Learning · Data Science · Python · Engineering · ETL · Cloud · Information Technology (IT) · SQL · Statistics
Data Scientist,eMushrif,"Cairo, Egypt ",Full time,2 - 4 Yrs of Exp, Data Science · Python · Software · Analyst/Research · Engineering - Telecom/Technology
Sr.Data Scientist,B.Tech,"Nasr City, Cairo, Egypt ",Full time,5 - 8 Yrs of Exp, Computer Science · Data Science · Information Technology (IT) · Mathematics · Data · MySQL · Science · SQL · Python · Statistics
Data Scientist,360Imaging,"Dokki, Giza, Egypt ",Full time,3+ Yrs of Exp, Analysis · Python · SQL · LMS · DBT · Data Analysis · Data · Looker · Scripting · BI
Senior Data Scientist,Wakeb Data,"Mohandessin, Giza, Egypt ",Full time,3 - 5 Yrs of Exp, Data Science · Python · Computer Science · Data Scientist · Speech Recognition · Computer vision · machine-learning · Statistics · Information Technology (IT) · IT/Software Development
Software Engineer - Frontend Development (React),Synapse Analytics,"Heliopolis, Cairo, Egypt ",Full time,0 - 5 Yrs of Exp, TLS · SSL · HTTPS · Git · TCP · IP · Network Programming · Operating Systems · UNIX · Linux
Software Engineer - Backend Development (Python Django),Synapse Analytics,"Heliopolis, Cairo, Egypt ",Full time,0 - 5 Yrs of Exp, Docker · Git · Application Security · TLS · SSL · HTTPS · SQL · DevOps · TCP · IP
Full Stack Web Developer,Confidential -,"6th of October, Giza, Egypt ",Full time,2 - 4 Yrs of Exp, Computer Science · Dynamics · Information Technology (IT) · Engineering · JavaScript · HTML · Microsoft · Software Development · CSS · Creative/Design/Art
Senior Frontend Developer,Globaltronics for Electronics,"6th of October, Giza, Egypt ",Full time,3 - 5 Yrs of Exp, Frontend · front-end · Angular · Bootstrap · JavaScript · CSS3 · HTML5 · jQuery · Computer Science · Information Technology (IT)
Python (GCP AppEngine) Engineer,camelCase,"Mohandessin, Giza, Egypt ",Full time,3+ Yrs of Exp, Python · Google Cloud · App Engine · Scalability · TDD · GCP · Kubernetes · Lambda · Event Driven · Computer Science
Marketing & Communications Manager,Hamza Group,"Dokki, Giza, Egypt ",Full time,4+ Yrs of Exp, Marketing · Digital Marketing · B2B · Market Research · Marketing/PR/Advertising · Media/Journalism/Publishing
SR Node JS Developer,Egypt Data,"Maadi, Cairo, Egypt ",Full time,3 - 5 Yrs of Exp, Computer Science · Node.js · Software Development · Information Technology (IT) · JavaScript · IT/Software Development · Engineering - Telecom/Technology
Staff Software Engineer (Customer Domain Team),Nana,"Sheraton, Cairo, Egypt ",Full time,8+ Yrs of Exp, Computer Science · Information Technology (IT) · Networking · Programming · Python · Software · Software Development · Software Engineering · Troubleshooting · Debugging
Product Owner - Jumia food,Jumia,"New Cairo, Cairo, Egypt ",Full time,2 - 5 Yrs of Exp, Product Owner · Product · Kanban · Scrum · Software Development · Development · Agile · Information Technology (IT) · English · Computer Science
